@relation BasicAgentAAtraining-data

@attribute ghostDirection1 {None,South,North,West,East}
@attribute ghostDirection2 {None,South,North,West,East}
@attribute ghostDirection3 {None,South,North,West,East}
@attribute ghostDirection4 {None,South,North,West,East}
@attribute aliveGhost{1111,1110,1100,1101,1011,1001,1010,1000,111,110,101,100,11,10,1,0}
@attribute distanceGhost1 NUMERIC
@attribute distanceGhost2 NUMERIC
@attribute distanceGhost3 NUMERIC
@attribute distanceGhost4 NUMERIC
@attribute minimap1 {W,E,G}
@attribute minimap2 {W,E,G}
@attribute minimap3 {W,E,G}
@attribute minimap4 {W,E,G}
@attribute minimap5 {W,E,G}
@attribute minimap6 {W,E,G}
@attribute minimap7 {W,E,G}
@attribute minimap8 {W,E,G}
@attribute minimap9 {W,E,G}
@attribute minimap10 {W,E,G}
@attribute minimap11 {W,E,G}
@attribute minimap12 {W,E,G}
@attribute minimap13 {W,E,G}
@attribute minimap14 {W,E,G}
@attribute minimap15 {W,E,G}
@attribute minimap16 {W,E,G}
@attribute minimap17 {W,E,G}
@attribute minimap18 {W,E,G}
@attribute minimap19 {W,E,G}
@attribute minimap20 {W,E,G}
@attribute minimap21 {W,E,G}
@attribute minimap22 {W,E,G}
@attribute minimap23 {W,E,G}
@attribute minimap24 {W,E,G}
@attribute minimap25 {W,E,G}
@attribute action{Stop,South,North,West,East}
@attribute nextScore NUMERIC

@data
None,East,East,East,1000,1000,7,10,17,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,189
None,East,East,East,1000,1000,6,9,16,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,188
None,South,East,East,1000,1000,5,8,15,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South,187
None,South,East,East,1000,1000,4,7,14,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South,186
None,South,East,East,1000,1000,3,6,15,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South,185
None,South,East,East,1000,1000,2,7,16,E,E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South,184
None,South,East,East,1000,1000,1,8,17,W,W,W,W,W,E,E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South,383
None,None,East,East,1100,1000,1000,9,18,E,W,E,W,W,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,382
None,None,East,East,1100,1000,1000,8,17,W,E,W,W,W,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,381
None,None,East,East,1100,1000,1000,7,16,E,W,W,W,W,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,380
None,None,North,East,1100,1000,1000,6,15,W,W,W,W,W,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,North,379
None,None,East,East,1100,1000,1000,5,14,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,378
None,None,North,East,1100,1000,1000,4,13,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,North,377
None,None,East,East,1100,1000,1000,3,12,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,East,376
None,None,North,East,1100,1000,1000,2,11,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,North,375
None,None,East,East,1100,1000,1000,1,10,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,East,574
None,None,None,East,1110,1000,1000,1000,9,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,573
None,None,None,East,1110,1000,1000,1000,8,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,572
None,None,None,East,1110,1000,1000,1000,7,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,571
None,None,None,East,1110,1000,1000,1000,6,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,570
None,None,None,East,1110,1000,1000,1000,5,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,569
None,None,None,East,1110,1000,1000,1000,4,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,568
None,None,None,East,1110,1000,1000,1000,3,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,East,567
None,None,None,North,1110,1000,1000,1000,2,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,North,566
East,East,East,East,0,13,25,28,35,W,W,E,E,E,W,W,E,E,E,W,W,E,E,E,W,W,W,W,W,W,W,W,W,W,East,-1
East,East,East,East,0,12,24,27,34,W,E,E,E,E,W,E,E,E,E,W,E,E,E,E,W,W,W,W,W,W,W,W,W,W,East,-2
East,East,East,East,0,11,23,26,33,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,W,W,W,W,W,W,W,W,W,East,-3
East,East,East,East,0,10,22,25,32,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,W,W,W,W,W,W,W,W,W,East,-4
South,East,East,East,0,9,21,24,31,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,W,W,W,W,W,W,W,W,W,South,-5
South,East,East,East,0,8,20,23,30,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,W,W,W,W,South,-6
South,East,East,East,0,7,19,22,29,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South,-7
South,East,East,East,0,6,18,21,28,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South,-8
South,East,East,East,0,5,17,20,27,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South,-9
South,East,East,East,0,4,16,19,26,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South,-10
South,East,East,East,0,3,15,18,25,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South,-11
South,East,East,East,0,2,14,17,24,E,E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South,-12
South,East,East,East,0,1,13,16,23,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South,187
None,East,East,East,1000,1000,12,15,22,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,186
None,East,East,East,1000,1000,11,14,21,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,185
None,East,East,East,1000,1000,10,13,20,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,184
None,East,East,East,1000,1000,9,12,19,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,183
None,East,East,East,1000,1000,8,11,18,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,182
None,East,East,East,1000,1000,7,10,17,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,181
None,South,East,East,1000,1000,6,9,16,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South,180
None,South,East,East,1000,1000,5,8,15,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South,179
None,South,East,East,1000,1000,4,7,14,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South,178
None,South,East,East,1000,1000,3,6,15,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South,177
None,South,East,East,1000,1000,2,7,16,E,E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South,176
None,South,East,East,1000,1000,1,8,17,W,W,W,W,W,E,E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South,375
None,None,East,East,1100,1000,1000,9,18,E,W,E,W,W,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,374
None,None,East,East,1100,1000,1000,8,17,W,E,W,W,W,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,373
None,None,East,East,1100,1000,1000,7,16,E,W,W,W,W,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,372
None,None,North,East,1100,1000,1000,6,15,W,W,W,W,W,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,North,371
None,None,East,East,1100,1000,1000,5,14,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,370
None,None,North,East,1100,1000,1000,4,13,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,North,369
None,None,East,East,1100,1000,1000,3,12,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,East,368
None,None,North,East,1100,1000,1000,2,11,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,North,367
None,None,East,East,1100,1000,1000,1,10,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,East,566
None,None,None,East,1110,1000,1000,1000,9,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,565
None,None,None,East,1110,1000,1000,1000,8,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,564
None,None,None,East,1110,1000,1000,1000,7,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,563
None,None,None,East,1110,1000,1000,1000,6,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,562
None,None,None,East,1110,1000,1000,1000,5,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,561
None,None,None,East,1110,1000,1000,1000,4,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,560
None,None,None,East,1110,1000,1000,1000,3,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,East,559
None,None,None,North,1110,1000,1000,1000,2,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,North,558
North,West,North,East,0,13,12,7,14,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,North,-1
North,West,North,East,0,13,13,6,16,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,North,-2
North,West,North,East,0,13,13,6,17,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,North,-3
West,West,North,East,0,11,13,5,18,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,North,-4
South,West,North,East,0,13,13,3,18,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,North,-5
South,West,North,East,0,13,13,3,18,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,North,-6
South,West,West,East,0,13,15,2,18,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,W,W,W,W,W,West,-7
South,West,West,East,0,11,15,1,19,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,W,W,W,W,W,West,192
South,South,None,East,10,10,13,1000,21,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,W,W,W,W,South,191
South,South,None,East,10,8,11,1000,21,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South,190
West,South,None,East,10,6,10,1000,21,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,West,189
North,South,None,East,10,6,10,1000,23,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,North,188
West,South,None,East,10,4,11,1000,25,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,West,187
West,East,None,East,10,4,11,1000,26,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,West,186
West,East,None,East,10,3,11,1000,26,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,West,185
West,East,None,East,10,1,13,1000,28,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,West,384
None,East,None,East,1010,1000,14,1000,28,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South,383
None,East,None,East,1010,1000,14,1000,26,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,382
None,East,None,East,1010,1000,14,1000,26,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,381
None,East,None,East,1010,1000,13,1000,26,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,380
None,East,None,East,1010,1000,11,1000,24,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,379
None,South,None,East,1010,1000,10,1000,24,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South,378
None,South,None,East,1010,1000,10,1000,22,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South,377
None,West,None,East,1010,1000,10,1000,22,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,West,376
None,West,None,East,1010,1000,10,1000,24,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,West,375
None,East,None,East,1010,1000,10,1000,24,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South,374
None,East,None,East,1010,1000,8,1000,24,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,373
None,East,None,East,1010,1000,8,1000,24,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,372
None,South,None,East,1010,1000,7,1000,23,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South,371
None,South,None,East,1010,1000,6,1000,22,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South,370
None,South,None,East,1010,1000,6,1000,20,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South,369
None,East,None,East,1010,1000,6,1000,18,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,368
None,South,None,East,1010,1000,6,1000,16,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South,367
None,East,None,East,1010,1000,6,1000,16,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,366
None,South,None,East,1010,1000,5,1000,14,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South,465
None,West,None,East,1010,1000,5,1000,12,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,West,464
None,West,None,East,1010,1000,5,1000,13,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,West,463
None,South,None,East,1010,1000,4,1000,15,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South,462
None,South,None,East,1010,1000,3,1000,13,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South,461
None,East,None,East,1010,1000,3,1000,15,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,460
None,South,None,East,1010,1000,1,1000,13,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South,659
None,None,None,East,1110,1000,1000,1000,13,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,658
None,None,None,East,1110,1000,1000,1000,11,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,657
None,None,None,East,1110,1000,1000,1000,9,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,656
None,None,None,East,1110,1000,1000,1000,9,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,655
None,None,None,East,1110,1000,1000,1000,8,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,654
None,None,None,East,1110,1000,1000,1000,7,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,653
None,None,None,East,1110,1000,1000,1000,5,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,652
None,None,None,East,1110,1000,1000,1000,5,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,651
None,None,None,North,1110,1000,1000,1000,5,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,North,650
None,None,None,North,1110,1000,1000,1000,4,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,North,649
None,None,None,East,1110,1000,1000,1000,4,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,East,648
None,None,None,East,1110,1000,1000,1000,2,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,East,647
South,North,East,East,0,8,1,10,11,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,North,199
South,None,East,East,100,10,1000,10,13,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,West,198
South,None,East,East,100,10,1000,12,13,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South,197
South,None,East,East,100,8,1000,12,12,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South,196
North,None,East,East,100,8,1000,14,12,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,West,195
North,None,East,East,100,8,1000,15,13,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,North,194
North,None,East,East,100,8,1000,13,13,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,North,193
West,None,East,East,100,6,1000,14,15,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,West,192
West,None,East,East,100,5,1000,16,15,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,West,191
West,None,East,East,100,5,1000,17,17,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,West,190
South,None,East,East,100,5,1000,18,17,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South,189
West,None,East,East,100,4,1000,17,16,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,West,188
North,None,East,East,100,4,1000,17,16,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,North,187
West,None,East,East,100,3,1000,18,16,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,West,186
West,None,East,East,100,3,1000,20,18,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,West,185
West,None,East,East,100,1,1000,22,20,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,West,384
None,None,East,East,1100,1000,1000,23,20,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,South,383
None,None,East,East,1100,1000,1000,22,20,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,382
None,None,East,East,1100,1000,1000,21,20,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,381
None,None,East,East,1100,1000,1000,19,19,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,380
None,None,East,East,1100,1000,1000,19,17,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,379
None,None,East,East,1100,1000,1000,18,17,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,378
None,None,East,East,1100,1000,1000,16,17,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,377
None,None,East,East,1100,1000,1000,16,15,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,376
None,None,East,East,1100,1000,1000,14,14,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,375
None,None,East,East,1100,1000,1000,12,12,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,374
None,None,East,East,1100,1000,1000,12,10,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,373
None,None,East,East,1100,1000,1000,12,10,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,372
None,None,East,East,1100,1000,1000,11,8,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,371
None,None,East,East,1100,1000,1000,9,6,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,370
None,None,East,East,1100,1000,1000,8,5,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,369
None,None,East,East,1100,1000,1000,7,5,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,368
None,None,East,East,1100,1000,1000,6,5,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,367
None,None,East,North,1100,1000,1000,4,5,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,East,366
None,None,East,North,1100,1000,1000,2,3,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,East,565
None,None,None,North,1110,1000,1000,1000,3,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,North,564
None,None,None,North,1110,1000,1000,1000,3,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,North,563
None,None,None,North,1110,1000,1000,1000,2,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,North,562
South,North,East,East,0,22,21,21,20,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,-1
South,North,East,East,0,22,22,19,18,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,East,-2
