@relation BustersKeyboardAgenttraining-data-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C16-L1

@attribute xPacmanPosition numeric
@attribute yPacmanPosition numeric
@attribute ghostPosition1x numeric
@attribute ghostPosition1y numeric
@attribute ghostPosition2x numeric
@attribute ghostPosition2y numeric
@attribute ghostPosition3x numeric
@attribute ghostPosition3y numeric
@attribute ghostPosition4x numeric
@attribute ghostPosition4y numeric
@attribute distanceGhost1 numeric
@attribute distanceGhost2 numeric
@attribute distanceGhost3 numeric
@attribute distanceGhost4 numeric
@attribute validActions {1111,1110,1100,1101,1011,1001,1010,1000,111,110,101,100,11,10,1,0}
@attribute lastAction {Stop,South,North,West,East}
@attribute aliveGhost {1111,1110,1100,1101,1011,1001,1010,1000,111,110,101,100,11,10,1,0}
@attribute score numeric
@attribute minimap1 {W,E,G}
@attribute minimap2 {W,E,G}
@attribute minimap3 {W,E,G}
@attribute minimap4 {W,E,G}
@attribute minimap5 {W,E,G}
@attribute minimap6 {W,E,G}
@attribute minimap7 {W,E,G}
@attribute minimap8 {W,E,G}
@attribute minimap9 {W,E,G}
@attribute minimap10 {W,E,G}
@attribute minimap11 {W,E,G}
@attribute minimap12 {W,E,G}
@attribute minimap13 {W,E,G}
@attribute minimap14 {W,E,G}
@attribute minimap15 {W,E,G}
@attribute minimap16 {W,E,G}
@attribute minimap17 {W,E,G}
@attribute minimap18 {W,E,G}
@attribute minimap19 {W,E,G}
@attribute minimap20 {W,E,G}
@attribute minimap21 {W,E,G}
@attribute minimap22 {W,E,G}
@attribute minimap23 {W,E,G}
@attribute minimap24 {W,E,G}
@attribute minimap25 {W,E,G}
@attribute nearestDot numeric
@attribute action {Stop,South,North,West,East}
@attribute nextScore numeric

@data
8,6,1,1,11,3,17,6,25,7,1000,6,9,18,1111,South,1000,183,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9999,South,182
8,5,1,1,11,3,17,6,25,7,1000,5,10,19,1111,South,1000,182,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9999,South,181
8,4,1,1,11,3,17,6,25,7,1000,4,11,20,1111,South,1000,181,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9999,South,180
8,3,1,1,11,3,17,6,25,7,1000,3,12,21,1011,South,1000,180,W,E,W,E,W,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9999,East,179
9,3,1,1,11,3,17,6,25,7,1000,2,11,20,1011,East,1000,179,E,W,E,W,E,W,W,W,W,W,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,9999,East,178
10,3,1,1,11,3,17,6,25,7,1000,1,10,19,1011,East,1000,178,W,E,W,E,W,W,W,W,W,W,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,9999,East,377
11,3,1,1,3,1,17,6,25,7,1000,1000,9,18,1011,East,1100,377,E,W,E,W,W,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9999,East,376
12,3,1,1,3,1,17,6,25,7,1000,1000,8,17,1011,East,1100,376,W,E,W,W,W,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9999,North,375
12,4,1,1,3,1,17,6,25,7,1000,1000,7,16,1111,North,1100,375,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9999,North,374
12,5,1,1,3,1,17,6,25,7,1000,1000,6,15,1111,North,1100,374,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9999,North,373
12,6,1,1,3,1,17,6,25,7,1000,1000,5,14,1111,North,1100,373,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9999,East,372
13,6,1,1,3,1,17,6,25,7,1000,1000,4,13,1111,East,1100,372,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9999,East,371
14,6,1,1,3,1,17,6,25,7,1000,1000,3,12,1111,East,1100,371,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9999,East,370
15,6,1,1,3,1,17,6,25,7,1000,1000,2,11,1111,East,1100,370,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,9999,East,369
16,6,1,1,3,1,17,6,25,7,1000,1000,1,10,1111,East,1100,369,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,9999,East,568
17,6,1,1,3,1,5,1,25,7,1000,1000,1000,9,1111,East,1110,568,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9999,East,567
18,6,1,1,3,1,5,1,25,7,1000,1000,1000,8,1111,East,1110,567,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9999,East,566
19,6,1,1,3,1,5,1,25,7,1000,1000,1000,7,1111,East,1110,566,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9999,East,565
20,6,1,1,3,1,5,1,25,7,1000,1000,1000,6,1111,East,1110,565,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9999,East,564
21,6,1,1,3,1,5,1,25,7,1000,1000,1000,5,1111,East,1110,564,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9999,East,563
22,6,1,1,3,1,5,1,25,7,1000,1000,1000,4,1111,East,1110,563,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9999,East,562
23,6,1,1,3,1,5,1,25,7,1000,1000,1000,3,1111,East,1110,562,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,9999,East,561
24,6,1,1,3,1,5,1,25,7,1000,1000,1000,2,1111,East,1110,561,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,9999,East,560
2,18,5,9,11,3,17,6,25,7,12,24,27,34,111,East,0,-4,W,E,E,E,E,W,E,E,E,E,W,E,E,E,E,W,W,W,W,W,W,W,W,W,W,9999,East,-5
3,18,5,9,11,3,17,6,25,7,11,23,26,33,111,East,0,-5,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,W,W,W,W,W,W,W,W,W,9999,East,-6
4,18,5,9,11,3,17,6,25,7,10,22,25,32,111,East,0,-6,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,W,W,W,W,W,W,W,W,W,9999,South,-7
4,17,5,9,11,3,17,6,25,7,9,21,24,31,1111,South,0,-7,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,W,W,W,W,9999,South,-8
4,16,5,9,11,3,17,6,25,7,8,20,23,30,1111,South,0,-8,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9999,South,-9
4,15,5,9,11,3,17,6,25,7,7,19,22,29,1111,South,0,-9,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9999,South,-10
4,14,5,9,11,3,17,6,25,7,6,18,21,28,1111,South,0,-10,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9999,South,-11
4,13,5,9,11,3,17,6,25,7,5,17,20,27,1111,South,0,-11,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9999,South,-12
4,12,5,9,11,3,17,6,25,7,4,16,19,26,1111,South,0,-12,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9999,South,-13
4,11,5,9,11,3,17,6,25,7,3,15,18,25,1111,South,0,-13,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9999,South,-14
4,10,5,9,11,3,17,6,25,7,2,14,17,24,1111,South,0,-14,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9999,East,-15
5,10,5,9,11,3,17,6,25,7,1,13,16,23,1111,East,0,-15,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9999,East,-16
6,10,5,9,11,3,17,6,25,7,2,12,15,22,1111,East,0,-16,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9999,East,-17
7,10,5,9,11,3,17,6,25,7,3,11,14,21,1111,East,0,-17,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9999,South,-18
7,9,5,9,11,3,17,6,25,7,2,10,13,20,1111,South,0,-18,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9999,West,-19
6,9,5,9,11,3,17,6,25,7,1,11,14,21,1111,West,0,-19,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,9999,North,-20
6,10,5,9,11,3,17,6,25,7,2,12,15,22,1111,North,0,-20,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9999,North,-21
6,11,5,9,11,3,17,6,25,7,3,13,16,23,1111,North,0,-21,E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9999,North,-22
6,12,5,9,11,3,17,6,25,7,4,14,17,24,1111,North,0,-22,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9999,East,-23
7,12,5,9,11,3,17,6,25,7,5,13,16,23,1111,East,0,-23,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9999,West,-24
6,12,5,9,11,3,17,6,25,7,4,14,17,24,1111,West,0,-24,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9999,South,-25
6,11,5,9,11,3,17,6,25,7,3,13,16,23,1111,South,0,-25,E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9999,West,-26
5,11,5,9,11,3,17,6,25,7,2,14,17,24,1111,West,0,-26,E,E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9999,West,-27
4,11,5,9,11,3,17,6,25,7,3,15,18,25,1111,West,0,-27,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9999,West,-28
3,11,5,9,11,3,17,6,25,7,4,16,19,26,1111,West,0,-28,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9999,South,-29
3,10,5,9,11,3,17,6,25,7,3,15,18,25,1111,South,0,-29,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9999,South,-30
3,9,5,9,11,3,17,6,25,7,2,14,17,24,1111,South,0,-30,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,9999,East,-31
4,9,5,9,11,3,17,6,25,7,1,13,16,23,1111,East,0,-31,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,9999,East,168
5,9,1,1,11,3,17,6,25,7,1000,12,15,22,1111,East,1000,168,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9999,East,167
6,9,1,1,11,3,17,6,25,7,1000,11,14,21,1111,East,1000,167,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9999,East,166
7,9,1,1,11,3,17,6,25,7,1000,10,13,20,1111,East,1000,166,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9999,East,165
8,9,1,1,11,3,17,6,25,7,1000,9,12,19,1111,East,1000,165,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9999,South,164
8,8,1,1,11,3,17,6,25,7,1000,8,11,18,1111,South,1000,164,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9999,South,163
8,7,1,1,11,3,17,6,25,7,1000,7,10,17,1111,South,1000,163,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9999,South,162
8,6,1,1,11,3,17,6,25,7,1000,6,9,18,1111,South,1000,162,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9999,South,161
8,5,1,1,11,3,17,6,25,7,1000,5,10,19,1111,South,1000,161,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9999,South,160
8,4,1,1,11,3,17,6,25,7,1000,4,11,20,1111,South,1000,160,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9999,South,159
8,3,1,1,11,3,17,6,25,7,1000,3,12,21,1011,South,1000,159,W,E,W,E,W,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9999,East,158
9,3,1,1,11,3,17,6,25,7,1000,2,11,20,1011,East,1000,158,E,W,E,W,E,W,W,W,W,W,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,9999,East,157
10,3,1,1,11,3,17,6,25,7,1000,1,10,19,1011,East,1000,157,W,E,W,E,W,W,W,W,W,W,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,9999,East,356
11,3,1,1,3,1,17,6,25,7,1000,1000,9,18,1011,East,1100,356,E,W,E,W,W,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9999,East,355
12,3,1,1,3,1,17,6,25,7,1000,1000,8,17,1011,East,1100,355,W,E,W,W,W,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9999,North,354
12,4,1,1,3,1,17,6,25,7,1000,1000,7,16,1111,North,1100,354,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9999,North,353
12,5,1,1,3,1,17,6,25,7,1000,1000,6,15,1111,North,1100,353,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9999,North,352
12,6,1,1,3,1,17,6,25,7,1000,1000,5,14,1111,North,1100,352,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9999,East,351
13,6,1,1,3,1,17,6,25,7,1000,1000,4,13,1111,East,1100,351,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9999,East,350
14,6,1,1,3,1,17,6,25,7,1000,1000,3,12,1111,East,1100,350,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9999,East,349
15,6,1,1,3,1,17,6,25,7,1000,1000,2,11,1111,East,1100,349,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,9999,East,348
16,6,1,1,3,1,17,6,25,7,1000,1000,1,10,1111,East,1100,348,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,9999,East,547
17,6,1,1,3,1,5,1,25,7,1000,1000,1000,9,1111,East,1110,547,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9999,East,546
18,6,1,1,3,1,5,1,25,7,1000,1000,1000,8,1111,East,1110,546,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9999,East,545
19,6,1,1,3,1,5,1,25,7,1000,1000,1000,7,1111,East,1110,545,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9999,East,544
20,6,1,1,3,1,5,1,25,7,1000,1000,1000,6,1111,East,1110,544,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9999,East,543
21,6,1,1,3,1,5,1,25,7,1000,1000,1000,5,1111,East,1110,543,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9999,East,542
22,6,1,1,3,1,5,1,25,7,1000,1000,1000,4,1111,East,1110,542,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,9999,East,541
23,6,1,1,3,1,5,1,25,7,1000,1000,1000,3,1111,East,1110,541,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,9999,East,540
24,6,1,1,3,1,5,1,25,7,1000,1000,1000,2,1111,East,1110,540,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,9999,East,539
14,11,5,13,12,3,12,17,24,9,11,10,8,12,1111,West,0,-6,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,4,West,-7
13,11,4,13,12,4,11,17,24,9,11,8,8,14,1111,West,0,-7,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,5,West,-8
12,11,3,13,11,4,11,16,25,9,11,8,6,16,1111,West,0,-8,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,6,West,-9
11,11,3,14,12,4,11,16,25,8,11,8,5,18,1111,West,0,-9,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,7,West,-10
10,11,3,13,13,4,11,15,25,7,9,10,5,18,1111,West,0,-10,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,8,West,-11
9,11,3,14,12,4,11,15,24,7,9,10,6,18,1111,West,0,-11,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,8,North,-12
9,12,3,15,13,4,11,14,24,8,9,12,4,18,1111,North,0,-12,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,7,North,-13
9,13,2,15,14,4,10,14,24,9,9,14,2,20,1111,North,0,-13,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,6,North,-14
9,14,1,15,14,3,11,14,25,9,9,16,2,22,1111,North,0,-14,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,5,North,-15
9,15,1,16,14,4,10,14,26,9,9,16,2,22,1111,North,0,-15,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,4,East,-16
10,15,1,16,15,4,10,14,25,9,10,16,1,22,1111,East,0,-16,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,5,East,-17
11,15,2,16,16,4,10,13,26,9,10,16,3,20,1111,East,0,-17,E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,6,East,-18
12,15,3,16,16,3,10,14,26,10,10,16,3,20,1111,East,0,-18,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,7,South,-19
12,14,3,15,16,3,10,14,27,10,10,15,2,20,1111,South,0,-19,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,8,West,-20
11,14,3,14,15,3,10,14,27,9,8,15,1,20,1111,West,0,-20,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,7,West,179
10,14,3,15,15,3,5,1,27,10,8,16,1000,22,1111,West,10,179,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,6,West,178
9,14,2,15,14,3,5,1,28,10,8,16,1000,22,1111,West,10,178,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,5,West,177
8,14,2,16,14,3,5,1,27,10,8,17,1000,23,1111,West,10,177,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,4,West,176
7,14,1,16,15,3,5,1,27,10,8,19,1000,25,1111,West,10,176,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,3,West,175
6,14,1,16,16,3,5,1,28,10,7,21,1000,25,1111,West,10,175,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,4,West,174
5,14,1,17,17,3,5,1,28,11,7,23,1000,26,1111,West,10,174,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,5,West,173
4,14,1,17,18,3,5,1,28,11,6,25,1000,28,1111,West,10,173,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,6,West,172
3,14,1,18,19,3,5,1,28,10,6,27,1000,30,1111,West,10,172,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,7,West,171
2,14,1,17,19,4,5,1,28,9,4,27,1000,30,1111,West,10,171,W,E,E,E,E,W,E,E,E,E,W,E,E,E,E,W,E,E,E,E,W,E,E,E,E,8,West,170
1,14,1,16,19,3,5,1,28,10,2,29,1000,30,1110,West,10,170,W,W,E,E,E,W,W,E,E,E,W,W,E,E,E,W,W,E,E,E,W,W,G,E,E,9,North,169
1,15,1,17,19,3,5,1,28,11,2,30,1000,32,1110,North,10,169,W,W,E,E,E,W,W,E,E,E,W,W,E,E,E,W,W,E,E,E,W,W,G,E,E,8,North,168
1,16,1,18,19,4,5,1,28,10,2,30,1000,33,1110,North,10,168,W,W,E,E,E,W,W,E,E,E,W,W,E,E,E,W,W,E,E,E,W,W,G,E,E,7,North,167
1,17,2,18,20,4,5,1,28,10,2,32,1000,33,1110,North,10,167,W,W,E,E,E,W,W,E,E,E,W,W,E,E,E,W,W,E,G,E,W,W,W,W,W,6,North,166
1,18,2,17,21,4,5,1,28,11,2,34,1000,34,110,North,10,166,W,W,E,E,E,W,W,E,G,E,W,W,E,E,E,W,W,W,W,W,W,W,W,W,W,7,East,165
2,18,2,17,20,4,5,1,28,11,1,32,1000,32,111,East,10,165,W,E,E,E,E,W,E,G,E,E,W,E,E,E,E,W,W,W,W,W,W,W,W,W,W,6,East,164
3,18,2,17,20,3,5,1,28,12,2,32,1000,30,111,East,10,164,E,E,E,E,E,E,G,E,E,E,E,E,E,E,E,W,W,W,W,W,W,W,W,W,W,5,East,163
4,18,1,17,20,4,5,1,28,13,4,30,1000,28,111,East,10,163,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,W,W,W,W,W,W,W,W,W,4,South,162
4,17,1,18,20,5,5,1,28,14,4,28,1000,27,1111,South,10,162,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,W,W,W,W,3,West,161
3,17,2,18,20,4,5,1,28,14,2,30,1000,27,1111,West,10,161,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,G,E,E,E,W,W,W,W,W,4,West,160
2,17,2,18,20,5,5,1,28,15,1,30,1000,27,1111,West,10,160,W,E,E,E,E,W,E,E,E,E,W,E,E,E,E,W,E,G,E,E,W,W,W,W,W,5,West,159
1,17,2,18,21,5,5,1,27,15,2,32,1000,28,1110,West,10,159,W,W,E,E,E,W,W,E,E,E,W,W,E,E,E,W,W,E,G,E,W,W,W,W,W,6,North,158
1,18,2,17,21,4,5,1,27,15,2,34,1000,30,110,North,10,158,W,W,E,E,E,W,W,E,G,E,W,W,E,E,E,W,W,W,W,W,W,W,W,W,W,7,East,157
